INFO 2025-09-19 10:53:18,332 django.server log_message 212 "OPTIONS /api/classes/1/details/ HTTP/1.1" 200 0
WARNING 2025-09-19 10:53:18,357 django.request log_response 246 Bad Request: /api/classes/1/details/
WARNING 2025-09-19 10:53:18,360 django.server log_message 212 "GET /api/classes/1/details/ HTTP/1.1" 400 49
INFO 2025-09-19 10:53:27,485 django.server log_message 212 "OPTIONS /api/auth/logout/ HTTP/1.1" 200 0
WARNING 2025-09-19 10:53:27,497 django.request log_response 246 Bad Request: /api/auth/logout/
WARNING 2025-09-19 10:53:27,498 django.server log_message 212 "POST /api/auth/logout/ HTTP/1.1" 400 0
INFO 2025-09-19 10:53:27,540 django.server log_message 212 "GET /api/config/ HTTP/1.1" 200 520
INFO 2025-09-19 10:53:27,548 django.server log_message 212 "GET /api/config/ HTTP/1.1" 200 520
INFO 2025-09-19 10:53:32,904 django.server log_message 212 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:34,159 django.server log_message 212 "POST /api/auth/login/ HTTP/1.1" 200 638
INFO 2025-09-19 10:53:34,191 django.server log_message 212 "OPTIONS /api/students/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:34,191 django.server log_message 212 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:34,192 django.server log_message 212 "OPTIONS /api/attendance/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:34,193 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:34,194 django.server log_message 212 "OPTIONS /api/students/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:34,194 django.server log_message 212 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:34,194 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 10:53:34,213 django.server log_message 212 "OPTIONS /api/attendance/ HTTP/1.1" 200 0
WARNING 2025-09-19 10:53:34,225 django.request log_response 246 Forbidden: /api/users/
INFO 2025-09-19 10:53:34,226 django.server log_message 212 "GET /api/students/ HTTP/1.1" 200 63796
INFO 2025-09-19 10:53:34,227 django.server log_message 212 "GET /api/attendance/ HTTP/1.1" 200 2
INFO 2025-09-19 10:53:34,228 django.server log_message 212 "GET /api/students/ HTTP/1.1" 200 63796
WARNING 2025-09-19 10:53:34,229 django.server log_message 212 "GET /api/users/ HTTP/1.1" 403 63
INFO 2025-09-19 10:53:34,231 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 10:53:34,242 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 10:53:34,242 django.server log_message 212 "GET /api/attendance/ HTTP/1.1" 200 2
WARNING 2025-09-19 10:53:34,256 django.request log_response 246 Forbidden: /api/users/
WARNING 2025-09-19 10:53:34,257 django.server log_message 212 "GET /api/users/ HTTP/1.1" 403 63
INFO 2025-09-19 10:54:05,488 django.server log_message 212 "OPTIONS /api/auth/logout/ HTTP/1.1" 200 0
WARNING 2025-09-19 10:54:05,506 django.request log_response 246 Bad Request: /api/auth/logout/
WARNING 2025-09-19 10:54:05,508 django.server log_message 212 "POST /api/auth/logout/ HTTP/1.1" 400 0
INFO 2025-09-19 10:54:05,606 django.server log_message 212 "GET /api/config/ HTTP/1.1" 200 520
INFO 2025-09-19 10:54:05,620 django.server log_message 212 "GET /api/config/ HTTP/1.1" 200 520
INFO 2025-09-19 10:54:09,335 django.server log_message 212 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-09-19 10:54:10,618 django.server log_message 212 "POST /api/auth/login/ HTTP/1.1" 200 635
INFO 2025-09-19 10:54:10,638 django.server log_message 212 "OPTIONS /api/teachers/2/classes/ HTTP/1.1" 200 0
